id1	id2	type
AT3G50910	AT4G02725	PPI
AT3G48690	AT4G10930	PPI
AT1G15760	AT4G14950	PPI
AT1G22920	AT3G48240	PPI
AT1G01470	AT1G22920	PPI
AT1G27300	AT4G14950	PPI
AT1G27300	AT4G02725	PPI
AT3G56860	AT5G52547	PPI
AT1G03040	AT3G01435	PPI
AT2G40380	AT3G53180	PPI
AT3G13710	AT3G53180	PPI
AT1G22920	AT3G19220	PPI
AT1G22920	AT3G60820	PPI
AT2G43060	AT5G56950	PPI
AT1G27300	AT5G04160	PPI
AT1G27300	AT3G13520	PPI
AT1G27300	AT4G38920	PPI
AT4G26110	AT5G56950	PPI
AT4G02770	AT4G19700	PPI
AT3G48150	AT4G02770	PPI
AT4G19030	AT4G23400	PPI
AT2G43370	AT3G50910	PPI
AT1G80560	AT5G14200	PPI
AT1G22920	AT3G62790	PPI
AT1G27300	AT3G16240	PPI
AT3G18060	AT5G09810	PPI
AT2G43370	AT4G19700	PPI
AT2G43370	AT5G58720	PPI
AT2G35470	AT5G04160	PPI
AT5G22290	AT5G53470	PPI
AT1G04430	AT5G22290	PPI
AT2G39250	AT5G13810	PPI
AT1G12840	AT1G79070	PPI
AT3G13720	AT5G55200	PPI
AT3G02520	AT3G56850	PPI
AT1G14340	AT5G55200	PPI
AT5G02870	AT5G22310	PPI
AT1G78300	AT3G56850	PPI
AT3G10572	AT5G22290	PPI
AT4G05400	AT4G19700	PPI
AT1G04330	AT3G45640	PPI
AT2G39760	AT5G14440	PPI
AT1G18660	AT3G48150	PPI
AT1G04330	AT1G22920	PPI
AT1G18660	AT3G63210	PPI
AT3G53900	AT4G09010	PPI
AT4G08150	AT5G50100	PPI
AT1G22990	AT3G13720	PPI
AT3G50920	AT5G41600	PPI
AT3G29270	AT3G54120	PPI
AT1G13520	AT1G14830	PPI
AT1G31780	AT5G11980	PPI
AT3G09690	AT3G29270	PPI
AT1G13520	AT2G42790	PPI
AT1G31050	AT4G02590	PPI
AT2G42790	AT3G16120	PPI
AT1G12920	AT2G42790	PPI
AT4G32750	AT4G35580	PPI
AT4G01920	AT5G64850	PPI
AT4G14455	AT4G35580	PPI
AT4G14455	AT5G22290	PPI
AT4G32750	AT5G22290	PPI
AT5G16560	AT5G61010	PPI
AT3G52050	AT4G16780	PPI
AT1G01910	AT5G44565	PPI
AT2G43060	AT5G48560	PPI
AT3G27420	AT4G24840	PPI
AT2G18300	AT2G43060	PPI
AT2G31955	AT3G53180	PPI
AT3G04240	AT5G38420	PPI
AT3G13672	AT5G63370	PPI
AT4G18700	AT5G38480	PPI
AT3G27420	AT4G02590	PPI
AT3G27420	AT5G41910	PPI
AT3G46060	AT5G07110	PPI
AT3G10260	AT4G08230	PPI
AT1G27360	AT2G24050	PPI
AT1G19740	AT3G59300	PPI
AT1G50430	AT5G22290	PPI
AT4G01090	AT4G20300	PPI
AT3G08530	AT4G20300	PPI
AT4G30490	AT5G06780	PPI
AT3G49250	AT4G35160	PPI
AT1G04930	AT4G24840	PPI
AT1G33110	AT4G35580	PPI
AT4G30490	AT5G61010	PPI
AT2G03120	AT5G22290	PPI
AT1G04930	AT5G61010	PPI
AT2G02990	AT5G22290	PPI
AT2G33120	AT5G22290	PPI
AT1G48270	AT5G22290	PPI
AT1G33110	AT5G22290	PPI
AT3G25220	AT5G22290	PPI
AT4G20300	AT5G61010	PPI
AT5G22290	AT5G53030	PPI
AT1G51950	AT4G28640	PPI
AT1G55190	AT5G27970	PPI
AT3G49580	AT4G30490	PPI
AT1G06510	AT4G20300	PPI
AT2G42790	AT3G58740	PPI
AT1G24510	AT5G20890	PPI
AT1G28360	AT1G32540	PPI
AT3G12930	AT4G02590	PPI
AT4G35580	AT5G63850	PPI
AT1G06110	AT1G20140	PPI
AT1G14920	AT5G38420	PPI
AT4G35580	AT5G27540	PPI
AT4G01430	AT4G35580	PPI
AT1G28360	AT1G69690	PPI
AT4G01430	AT5G22290	PPI
AT5G15080	AT5G61010	PPI
AT1G28360	AT5G61010	PPI
AT5G22290	AT5G63850	PPI
AT5G22290	AT5G27540	PPI
AT4G23770	AT5G09450	PPI
AT3G12930	AT4G08150	PPI
AT5G59720	AT5G66240	PPI
AT1G09270	AT5G17690	PPI
AT2G01190	AT3G16120	PPI
AT1G75950	AT3G48880	PPI
AT2G21660	AT4G34230	PPI
AT1G15750	AT4G14560	PPI
AT1G58470	AT3G13222	PPI
AT3G08530	AT5G48385	PPI
AT2G41350	AT3G47675	PPI
AT1G75400	AT5G28900	PPI
AT4G11100	AT5G20920	PPI
AT3G57050	AT4G07950	PPI
AT2G26800	AT5G56290	PPI
AT3G05935	AT3G07780	PPI
AT1G01910	AT1G75750	PPI
AT3G07750	AT3G61620	PPI
AT2G46890	AT5G22290	PPI
AT2G02810	AT5G22290	PPI
